Date,Event name,Venue,Lineup
2019-04-17,Dutch Ding-a-Dong Festival with Rosemary & Garlic,Studio,"Rosemary & Garlic, Pitou"
2019-04-18,Psikedelik Anadolu ve Groove by Peyderpey,[mecra],Peyderpey
2019-04-19,Thomass Jackson // Jan Molti,Minimüzikhol,""
2019-04-20,"Robag Wruhme, Moguz, Heimat",Suma Han,""
2019-04-21,Diva Bebe ŞOV,[mecra],"Melike Şahin, Deniz Tekin"
2019-04-22,Glow Monday,Glow,"Semih Akay, Cengiz Kizmaz, Anil Kaya"
2019-04-24,Toral,Zor,""
2019-04-25,Gurko // All Night Long,Zor,Gurko
2019-04-26,M Music presents: Mind Against/ Procombo / Dirgen,RX Istanbul,"Mind Against, Procombo, Dirgen"
2019-04-27,M Music presents: Danny Daze / Non Square / Nektar / Ffrw,RX Istanbul,"Danny Daze, Non Square, Nektar, FFRW"
2019-04-28,Kaan Sezyum - Resimli Komiklik,[mecra],Kaan Sezyum
2019-05-01,Space Walk [Live],[mecra],"Serhan Erkol, Gökhan Sürer, Ediz Hafızoğlu"
2019-05-02,Diffusion • Reptilians From Andromeda • Deli Gömleği [Live],[mecra],"Diffusion, Reptilians From Andromeda, Deli Gömleği"
2019-05-03,KA-Parti: Ayva Çiçek Açmış,[mecra],"Deepinoza, Q-BRA, Aerie"
2019-05-04,Cinematic Rave,Suma Han,"Becky FR, EXIX, GÖK, Sekulahr"
